כאב ראש,כאב ראש
אבעבועות רוח,אבעבועות רוח
קוצר נשימה,קוצר נשימה
ראש כאב,כאב ראש
נשימה קוצר,קוצר נשימה
אבעבועות,-1
רוח,-1
פריחה עור,פריחה בעור
עור פריחה,פריחה בעור
עור,-1
פריחה,פריחה בעור
כאב חזה,כאב חזה
חזה כאב,כאב חזה
חולשה,חולשה
כאב,-1
עקצוץ,עקצוץ
חום,חום גבוה
שפעת,שפעת
דלקת,-1
דלקת גרון,דלקת גרון
דלקת ריאות,דלקת ריאות
דלקת פרקים,דלקת פרקים
דלקת עיניים,דלקת עיניים
ליחה,ליחה חלודה
דופק,-1
דופק מהיר,דופק מהיר
הזעה,הזעה
קוצר,-1
נשימה,-1
שיעול,שיעול
צמרמורת,צמרמורת
עייפות,עייפות
כתם אדום,כתמים אדומים על גוף
כתם,-1
אדום,-1
תרדמה,תרדמה
ראש,-1
גרון,-1
ריאות,-1
עיניים,-1
מהיר,-1
חזה,-1
כאב בטן,כאב בטן
בטן כאב,כאב בטן
בטן,-1
חוסר תיאבון,חוסר תיאבון
תיאבון חוסר,חוסר תיאבון
תיאבון,-1
חוסר,-1
פריחה,פריחה בעור
עייפות,עייפות
